web-scraper-order,web-scraper-start-url,base,base-href,superficie,nbr_pieces,nbr_salle_bain,adresse
"1739532501-1","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-800-m-fann-2041560","800 m2","9","7","Fann, Dakar, Sénégal"
"1739532504-2","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-10-pieces-fann-2041665","500","10","5","Fann, Dakar, Sénégal"
"1739532531-3","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-10-pieces-almadies-2041734","600 m2","10","9","Ngor, Dakar, Sénégal"
"1739532538-4","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-zac-mbao-2041809","","160 m2","","Dieuppeul-Derklé, Dakar, Sénégal"
"1739532564-5","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-somone-2042056","300 m2","3","3","Thies, Sénégal"
"1739532569-6","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-basse-4-pieces-ouest-foire-2042064","150","4","3","Sicap Liberté, Dakar, Sénégal"
"1739532584-7","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villas-10-pieces-point-e-2042109","750","10","7","Point E, Dakar, Sénégal"
"1739532589-8","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-150-m-hlm-2042197","","150 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739532597-9","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-dieupeul-2042202","","140 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739532604-10","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-somone-2042261","600 m2","8","5","Mbour, Sénégal"
"1739532614-11","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ouakam-2042388","200 m2","5","3","Ngor, Dakar, Sénégal"
"1739532622-12","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-maison-thies-2042557","300 m2","6","3","Thies Ouest, Thiès, Sénégal"
"1739532648-13","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-mbao-2043954","","150 m2","","Keur Massar, Sénégal"
"1739532655-14","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-maison-4-pieces-saly-diacksao-2044046","450 m2","3","2","Saly, Sénégal"
"1739532664-15","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-niague-lac-ros-2044123","","150 m2","","Niaga, Sénégal"
"1739532672-16","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-a-somonembour-2044128","600 m2","5","5","Mbour, Sénégal"
"1739532677-17","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-hann-bel-air-2044164","150","4","4","Hann Bel-Air, Dakar, Sénégal"
"1739532703-18","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-ngaparou-mbour-2044220","512 m2","3","3","Mbour, Sénégal"
"1739532720-19","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-saly-2044557","","1000 m2","","Saly, Sénégal"
"1739532728-20","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-petit-mbao-2044640","","300 m2","","Dakar, Sénégal"
"1739532735-21","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villa-3-pieces-a-mermoz-sacre-coeur-2045457","150","3","2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739532739-22","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-2045712","","","","Yoff, Dakar, Sénégal"
"1739532743-23","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vete-villa-7-pieces-380-m-almadies-2045975","380 m2","7","5","Ngor, Dakar, Sénégal"
"1739532755-24","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-kounoune-2045988","300 m2","8","5","Dakar, Sénégal"
"1739532760-25","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/location-villas-4-pieces-ngor-2046521","200","3","1","Ngor, Dakar, Sénégal"
"1739532765-26","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/villas/vente-villa-a-demolir-200-m-sacre-cur-vdn-2046570","","200 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
